identity,level,count,perc,eth,gen,year,perc_total
male_lat_other_more,Leadership,1176,5.585106382978723,oth,man,2020,6.234526729897467
male_lat_other_more,Prof_tech,3972,6.402011508147575,oth,man,2020,6.234526729897467
male_lat_other_more,sales_service_admin,367,6.847014925373135,oth,man,2020,6.234526729897467
male_nat_am,Leadership,51,0.24221124620060788,nat,man,2020,0.1639177472049198
male_nat_am,Prof_tech,79,0.12733104459810132,nat,man,2020,0.1639177472049198
male_nat_am,sales_service_admin,15,0.2798507462686567,nat,man,2020,0.1639177472049198
male_white,Leadership,7262,34.48898176291793,whi,man,2020,33.313738568150214
male_white,Prof_tech,20698,33.360733684702545,whi,man,2020,33.313738568150214
male_white,sales_service_admin,1509,28.15298507462687,whi,man,2020,33.313738568150214
fem_asian,Leadership,1652,10.939672869346401,asi,woman,2021,14.222770176041394
fem_asian,Prof_tech,11891,15.174834099030118,asi,woman,2021,14.222770176041394
fem_asian,sales_service_admin,531,9.666848716548335,asi,woman,2021,14.222770176041394
fem_black,Leadership,293,1.9402688563671282,bla,woman,2021,1.8453018574287043
fem_black,Prof_tech,1299,1.6577335375191424,bla,woman,2021,1.8453018574287043
fem_black,sales_service_admin,234,4.2599672310212995,bla,woman,2021,1.8453018574287043
fem_lat_other_more,Leadership,533,3.5295675783060725,oth,woman,2021,3.5652929644077047
fem_lat_other_more,Prof_tech,2503,3.194231750893313,oth,woman,2021,3.5652929644077047
fem_lat_other_more,sales_service_admin,492,8.956854178044784,oth,woman,2021,3.5652929644077047
fem_nat_am,Leadership,16,0.10595324812926296,nat,woman,2021,0.11217333306384784
fem_nat_am,Prof_tech,66,0.08422664624808576,nat,woman,2021,0.11217333306384784
fem_nat_am,sales_service_admin,29,0.5279446568359731,nat,woman,2021,0.11217333306384784
fem_white,Leadership,2996,19.83974571220449,whi,woman,2021,13.696262910039009
fem_white,Prof_tech,8650,11.038795303726392,whi,woman,2021,13.696262910039009
fem_white,sales_service_admin,1907,34.71691243400692,whi,woman,2021,13.696262910039009
male_asian,Leadership,2836,18.780213230911862,asi,man,2021,26.289993330234253
male_asian,Prof_tech,22905,29.230474732006122,asi,man,2021,26.289993330234253
male_asian,sales_service_admin,274,4.988166757691608,asi,man,2021,26.289993330234253
male_black,Leadership,350,2.317727302827627,bla,man,2021,2.518341855811791
male_black,Prof_tech,1962,2.5038284839203677,bla,man,2021,2.518341855811791
male_black,sales_service_admin,180,3.2768978700163847,bla,man,2021,2.518341855811791
male_lat_other_more,Leadership,861,5.701609164955963,oth,man,2021,6.524243587929746
male_lat_other_more,Prof_tech,5236,6.681980602348137,oth,man,2021,6.524243587929746
male_lat_other_more,sales_service_admin,359,6.535590751866012,oth,man,2021,6.524243587929746
male_nat_am,Leadership,39,0.25826104231507846,nat,man,2021,0.14956444408513048
male_nat_am,Prof_tech,101,0.12889229198570698,nat,man,2021,0.14956444408513048
male_nat_am,sales_service_admin,8,0.14563990533406151,nat,man,2021,0.14956444408513048
male_white,Leadership,5525,36.586980994636114,whi,man,2021,31.076055540958425
male_white,Prof_tech,23747,30.305002552322613,whi,man,2021,31.076055540958425
male_white,sales_service_admin,1479,26.92517749863463,whi,man,2021,31.076055540958425
